timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200318T0000,11.620529,0,1.7870656,206.56505
20200318T0100,11.400529,0,2.1477854,209.74489
20200318T0200,10.940529,0,1.6204481,189.46233
20200318T0300,10.610529,0,1.332,143.1301
20200318T0400,10.030529,0,1.7057923,141.34018
20200318T0500,9.440529,0,1.506986,135
20200318T0600,8.980529,0,1.332,143.1301
20200318T0700,8.700529,0,1.506986,135
20200318T0800,8.3005295,0,2.1477854,150.25511
20200318T0900,8.450529,0,2.5132127,122.00538
20200318T1000,10.3005295,0,4.0313635,97.59464
20200318T1100,12.8005295,0,4.5288,89.99999
20200318T1200,14.950529,0,3.700947,59.74356
20200318T1300,16.39053,0,4.066419,58.392494
20200318T1400,17.840528,0,5.848678,59.93141
20200318T1500,18.580528,0,5.1725526,34.508514
20200318T1600,18.87053,0,5.068606,3.0127716
20200318T1700,18.690529,0,7.2713056,351.57306
20200318T1800,18.260529,0,6.9723544,353.41806
20200318T1900,17.580528,0,5.1450386,338.7495
20200318T2000,16.64053,0,5.485512,330.94543
20200318T2100,15.610529,0,4.5288,331.92752
20200318T2200,14.360529,0,2.8318708,311.1859
20200318T2300,13.820529,0,2.6772869,264.28943
20200319T0000,13.350529,0,3.2189233,245.55606
20200319T0100,12.640529,0,3.0374272,254.74487
20200319T0200,12.280529,0,2.9784427,243.43495
20200319T0300,12.000529,0,2.5132127,212.00539
20200319T0400,11.260529,0,2.7167575,168.69006
20200319T0500,10.630529,0,2.9784427,153.43495
20200319T0600,10.410529,0,3.700947,149.74356
20200319T0700,10.180529,0,3.6234317,143.97263
20200319T0800,9.990529,0,3.207881,131.63353
20200319T0900,10.370529,0,2.9424841,95.19443
20200319T1000,12.070529,0,4.00487,93.81408
20200319T1100,14.230529,0,3.4734309,94.398705
20200319T1200,15.870529,0,1.191377,63.43495
20200319T1300,17.350529,0,1.5984001,360
20200319T1400,17.500528,0,3.8142676,347.90524
20200319T1500,18.48053,0,3.6234312,342.89728
20200319T1600,18.990528,0,2.9784424,349.69516
20200319T1700,19.110529,0,2.6772869,354.28943
20200319T1800,18.95053,0,2.9784424,349.69516
20200319T1900,18.32053,0,3.2951863,345.96375
20200319T2000,17.690529,0,5.068606,356.98724
20200319T2100,16.520529,0,5.3545737,5.7105865
20200319T2200,15.0505295,0,2.9304,360
20200319T2300,14.010529,0,1.332,270
20200320T0000,13.810529,0,2.5132127,237.99463
20200320T0100,13.8005295,0,3.1067312,239.03624
20200320T0200,13.380529,0,3.3379824,241.38954
20200320T0300,12.670529,0,1.332,126.869896
20200320T0400,11.910529,0,3.1067312,120.96376
20200320T0500,11.180529,0,4.075136,101.30993
20200320T0600,10.200529,0,4.4656777,107.35402
20200320T0700,9.840529,0,3.118132,109.9831
20200320T0800,9.270529,0,3.1968002,89.99999
20200320T0900,9.880529,0,1.0983953,75.96376
20200320T1000,11.760529,0,1.5533656,59.036232
20200320T1100,13.470529,0,1.0983953,14.03624
20200320T1200,15.320529,0,2.8692157,338.1986
20200320T1300,16.740528,0,4.9121733,319.3987
20200320T1400,17.15053,0,5.0052013,295.2011
20200320T1500,17.080528,0.2,10.196545,340.14478
20200320T1600,17.39053,0.2,11.928653,336.29736
20200320T1700,17.47053,0.1,14.181891,331.99084
20200320T1800,17.440529,0,12.035266,332.30054
20200320T1900,16.46053,0,10.14421,330.06848
20200320T2000,15.680529,0,5.9865956,327.72437
20200320T2100,14.970529,0,5.5434246,305.2176
20200320T2200,14.500529,0,4.897704,292.38013
20200320T2300,13.530529,0,4.5833187,305.5377
20200321T0000,11.980529,0,5.1725526,304.50854
20200321T0100,10.720529,0,4.057684,293.1986
20200321T0200,9.540529,0,4.3038235,291.8014
20200321T0300,8.660529,0,1.3583788,11.309921
20200321T0400,8.750529,0,2.664,360
20200321T0500,8.760529,0,4.336678,349.38034
20200321T0600,8.370529,0,5.1450386,338.7495
20200321T0700,7.6205287,0,6.911014,332.4472
20200321T0800,6.7505283,0,7.766828,329.03625
20200321T0900,7.0305285,0,8.499788,327.80426
20200321T1000,7.7205286,0,8.955162,329.62088
20200321T1100,8.5505295,0,9.414894,334.8852
20200321T1200,9.150529,0,11.308671,344.98163
20200321T1300,9.340529,0,13.322664,348.4654
20200321T1400,9.5505295,0,13.271961,349.5923
20200321T1500,9.250529,0,13.010035,349.38034
20200321T1600,8.480529,0,12.889466,341.9395
20200321T1700,7.9905286,0,8.931355,342.646
20200321T1800,7.7505283,0,5.3079824,342.47443
20200321T1900,7.9705286,0,3.5039446,8.74614
20200321T2000,8.230529,0,4.5366287,86.63353
20200321T2100,7.4705286,0,11.458298,88.66778
20200321T2200,6.2805285,0,13.0536,89.99999
20200321T2300,5.9205284,0,13.628123,85.515396
20200322T0000,5.5705285,0,14.939793,86.93351
20200322T0100,5.1305285,0,16.250399,89.99999
20200322T0200,4.8005285,0,17.05168,90.89517
20200322T0300,4.8905287,0,4.713097,47.29059
20200322T0400,5.1605287,0,9.460013,80.272415
20200322T0500,4.290529,0,12.035266,84.920395
20200322T0600,3.4105287,0,16.516798,89.99999
20200322T0700,2.4505286,0,18.678421,93.27049
20200322T0800,2.2705286,0,17.61466,93.46823
20200322T0900,3.6405284,0,17.850786,89.144905
20200322T1000,5.7105284,0,17.124361,84.64417
20200322T1100,7.4305286,0,18.71638,85.10091
20200322T1200,8.920529,0,21.859413,87.90474
20200322T1300,10.230529,0,22.91195,89.33379
20200322T1400,11.370529,0,24.510248,89.37724
20200322T1500,11.680529,0,19.247284,85.23635
20200322T1600,11.430529,0,21.619473,93.53228
20200322T1700,11.120529,0,22.644,89.99999
20200322T1800,10.580529,0,20.806505,87.06432
20200322T1900,9.110529,0,18.916277,89.19307
20200322T2000,6.6505284,0,17.856749,91.70981
20200322T2100,5.1105285,0,18.655611,91.63657
20200322T2200,4.1505284,0,17.584417,89.13194
20200322T2300,3.2305286,0,16.516798,89.99999
20200323T0000,2.3905284,0,15.4512005,89.99999
20200323T0100,1.4705287,0,14.956409,94.08562
20200323T0200,0.73052865,0,14.209388,96.45882
20200323T0300,0.15052865,0,7.501892,106.50436
20200323T0400,-0.30947134,0,11.830079,97.76516
20200323T0500,-0.8094713,0,13.6800995,96.70984
20200323T0600,-1.3594713,0,13.534064,100.20397
20200323T0700,-1.5894713,0,13.061753,101.76829
20200323T0800,-1.4894713,0,12.340963,103.73626
20200323T0900,-0.04947134,0,15.988439,100.561005
20200323T1000,1.3705287,0,19.753162,100.097496
20200323T1100,3.2605286,0,19.298836,96.34019
20200323T1200,5.1805286,0,19.512777,94.69868
20200323T1300,7.3205285,0,20.556002,93.71529
20200323T1400,8.900529,0,20.806505,92.93567
20200323T1500,9.880529,0,17.082869,86.42367
20200323T1600,9.960529,0,19.449026,90.78482
20200323T1700,9.700529,0,19.729794,92.321526
20200323T1800,9.090529,0,19.449026,90.78482
20200323T1900,7.8505287,0,17.848799,89.99999
20200323T2000,5.8005285,0,17.057924,91.7899
20200323T2100,4.0605288,0,17.632782,94.332306
20200323T2200,2.8605285,0,19.563631,96.254036
20200323T2300,2.0205286,0,19.403358,98.68635
20200324T0000,1.4005287,0,17.824926,99.46232
20200324T0100,0.8905287,0,15.372918,98.97262
20200324T0200,0.43052867,0,13.583788,101.30993
20200324T0300,-0.10947134,0,5.6449146,109.29004
20200324T0400,-0.56947136,0,5.8182635,105.9454
20200324T0500,-0.77947134,0,7.237064,96.340195
20200324T0600,-0.8094713,0,6.9468617,94.398705
20200324T0700,-1.2694713,0,5.7507854,103.392494
20200324T0800,-1.2294713,0,5.3079824,107.52557
20200324T0900,0.62052864,0,8.795236,88.26429
20200324T1000,2.6505284,0,15.719857,90.971016
20200324T1100,3.9405286,0,18.648,89.99999
20200324T1200,5.8305287,0,19.454498,88.43064
20200324T1300,7.7505283,0,21.052343,88.54978
20200324T1400,9.000529,0,23.4432,89.99999
20200324T1500,9.670529,0,20.043835,85.42608
20200324T1600,9.790529,0,21.870773,87.20729
20200324T1700,9.440529,0,23.176798,89.99999
20200324T1800,8.680529,0,22.645567,89.325966
20200324T1900,7.5705285,0,21.313665,89.28384
20200324T2000,5.8805285,0,19.98,89.99999
20200324T2100,4.6905284,0,20.248152,90.753845
20200324T2200,3.8905284,0,20.82185,93.667786
20200324T2300,3.0405285,0,18.41246,93.31778
20200325T0000,2.4605286,0,12.789975,91.19349
20200325T0100,1.8705287,0,5.842608,65.772255
20200325T0200,0.60052866,0,3.1067312,300.96378
20200325T0300,-0.12947133,0,2.3976,89.99999
20200325T0400,-0.41947132,0,1.1302395,44.999985
20200325T0500,-0.84947133,0,2.2916594,324.46234
20200325T0600,-1.1394713,0,2.6237357,293.9625
20200325T0700,-1.3994713,0,1.7057923,231.3402
20200325T0800,-1.2794713,0,1.7057923,231.3402
20200325T0900,0.10052866,0,3.554219,102.99461
20200325T1000,2.1305285,0,7.8395867,80.21759
20200325T1100,3.7605286,0,6.8075495,30.579224
20200325T1200,4.2705283,0,8.102239,350.5377
20200325T1300,5.1305285,0,6.5795946,338.6294
20200325T1400,7.1405287,0,2.382754,26.565033
20200325T1500,9.560529,0,9.914233,83.82981
20200325T1600,10.160529,0,17.880579,86.583405
20200325T1700,9.990529,0,19.828466,83.82981
20200325T1800,9.270529,0,20.387869,83.24643
20200325T1900,8.190529,0,18.495144,78.36636
20200325T2000,6.6005287,0,13.064469,69.71744
20200325T2100,5.1005287,0,10.375929,60.802513
20200325T2200,4.000529,0,8.710098,66.57131
20200325T2300,3.0905285,0,7.6285353,77.905235
